Entity,Schizophrenia,Bipolar Disorder,Eating Disorders,Anxiety Disorders,Drug Use Disorders,Depression,Alcohol Use Disorders
Bhutan,0.266783,0.5948346666666666,0.166603,3.795159,0.5294898333333333,3.4191203333333333,2.3512645
Bolivia,0.1927458333333333,0.8527331666666668,0.29399166666666665,4.239424333333333,0.9002171666666667,3.1063505,1.6103361666666667
Bosnia and Herzegovina,0.20021366666666665,0.7175158333333332,0.16916983333333332,3.4015411666666666,0.4334763333333333,2.3253641666666667,2.8415701666666666
Botswana,0.18080516666666666,0.6380878333333334,0.22166333333333332,3.502419,0.7461923333333332,3.989696,1.6215853333333332
Brazil,0.20514666666666667,1.1068736666666668,0.27227433333333334,6.2226515000000004,1.0515886666666667,3.3405731666666667,2.6968468333333333
Brunei,0.27216633333333334,0.6293493333333333,0.5445906666666667,3.6221080000000003,0.8979265,2.536786166666667,0.7847521666666667
Bulgaria,0.20164316666666668,0.6301965,0.19758966666666666,3.5871931666666668,0.6947115,2.5408541666666666,1.8319668333333334
Burkina Faso,0.16386216666666667,0.6208933333333334,0.11025849999999998,2.8938475,0.43451850000000003,3.6433705,0.9955846666666667
Burundi,0.15369383333333334,0.6119898333333333,0.08905816666666666,3.573285,0.496141,3.7273913333333333,1.5761593333333332
Cambodia,0.20621349999999997,0.5091918333333333,0.10438199999999997,3.2874656666666664,0.5625793333333333,3.1023746666666665,0.8388455
Cameroon,0.17002816666666665,0.6273818333333333,0.13144766666666666,2.903176833333333,0.5822348333333333,3.749477166666667,1.0278456666666667
Canada,0.31482316666666665,0.7150766666666667,0.47408716666666667,5.170253166666666,2.223147,3.9480013333333335,1.6064373333333333
Cape Verde,0.189254,0.7093133333333334,0.16689416666666665,2.995223333333333,0.6224813333333333,4.0953178333333335,1.0052320000000001
Central African Republic,0.14871383333333332,0.5926213333333333,0.0906725,3.2444755,0.5130346666666666,4.215642833333334,1.4172531666666668
